time,ug2_Hs,ug2_Tp,ug2_Tp_ds,ug2_Tm01,ug2_Tm01_ds,ug2_Tm02,ug2_Tm02_ds
09/10/2021 11:30,2.425629663,16.36363636,14.27953465,9.549803655,7.729530202,8.693831893,7.220112955
09/10/2021 12:00,2.549856148,16.36363636,14.11380684,9.261491166,6.878333417,8.54124012,6.525173042
09/10/2021 12:30,2.627722709,15,12.7571088,9.532508467,7.641966013,8.762615057,7.27985498
09/10/2021 13:00,2.631644809,15,12.86321273,9.282220789,7.408975969,8.505040053,6.968787856
09/10/2021 13:30,2.616380169,16.36363636,14.21886883,9.49743758,7.38540024,8.610283628,6.920858166
09/10/2021 14:00,2.38874752,10,7.836668026,9.246762232,7.019927494,8.468976348,6.591765966
09/10/2021 14:30,2.297170171,15,13.06122784,9.174515381,7.359338835,8.293323416,6.838744734
09/10/2021 15:00,2.43897996,15,12.89003756,9.013357607,7.147951374,8.241611746,6.733780867
09/10/2021 15:30,2.508519402,15,12.86766756,9.402288762,7.960069325,8.558295984,7.509285292
09/10/2021 16:00,2.295138441,13.84615385,11.79819226,9.167966244,7.222594987,8.334040986,6.745356422
09/10/2021 16:30,2.449289082,16.36363636,14.28340147,9.265233075,8.017866574,8.384716611,7.518593615
09/10/2021 17:00,2.431722456,15,12.45900008,9.393044691,7.956581836,8.529948026,7.513382854
09/10/2021 17:30,2.483707897,15,12.29282906,9.644178512,8.099194072,8.771391338,7.7248448
09/10/2021 18:00,2.396175255,15,12.4107534,9.339712728,6.926393529,8.543996978,6.568545796
09/10/2021 18:30,2.540005142,15,12.36731687,9.552914318,8.324863342,8.663781018,7.940164723
09/10/2021 19:00,2.581705771,16.36363636,13.89971196,9.852956103,8.258839953,8.885904077,7.742927066
09/10/2021 19:30,2.740750824,15,12.12723995,9.711828427,7.804730915,8.842246351,7.509950874
09/10/2021 20:00,2.575439093,9.473684211,5.824663789,9.409472148,6.845588318,8.685263353,6.607489099
09/10/2021 20:30,2.439915226,10,5.919366534,9.862901284,8.258971778,9.05523879,7.977516055
09/10/2021 21:00,2.695057676,11.25,7.843990432,9.878459774,8.849985682,9.022728589,8.60128192
09/10/2021 21:30,2.827365036,12,8.471792808,10.23100548,7.60210801,9.368224803,7.331744858
09/10/2021 22:00,2.355750958,10.58823529,5.997612565,9.692465716,7.897607727,8.821412895,7.676496675
09/10/2021 22:30,2.549909367,10.58823529,6.516039214,9.385275139,8.353365798,8.566269446,8.168553978
09/10/2021 23:00,2.44298948,9,5.207157555,8.945512758,7.198121586,8.186850329,6.951586704
09/10/2021 23:30,2.488217716,10,5.907751367,9.303129855,7.895891777,8.583276701,7.669467442
10/10/2021 00:00,2.49368255,16.36363636,13.52466805,9.43489216,7.994916071,8.49796274,7.637723077
10/10/2021 00:30,2.588587783,15,12.34167848,9.171961858,7.821787649,8.383217134,7.476787738
10/10/2021 01:00,2.562596809,10,6.763611833,9.135930246,7.547854983,8.338508316,7.268864257
10/10/2021 01:30,2.712846522,9.473684211,5.777847525,9.147592212,7.755795578,8.413440992,7.512178781
10/10/2021 02:00,2.414940333,15,12.65660998,9.004013861,7.668869281,8.190093728,7.352701505
10/10/2021 02:30,2.367059217,15,12.57384026,9.125894763,7.283011245,8.24399652,6.864072865
10/10/2021 03:00,2.544020166,15,12.67208117,8.864315827,7.722386621,8.035911179,7.369074292
10/10/2021 03:30,2.646398173,15,12.62375662,9.167820204,7.435256374,8.364890889,7.079777164
10/10/2021 04:00,2.504489167,15,12.74361261,8.839814206,7.127750184,8.086231612,6.786984905
